,age,job,marital,education,default,housing_loan,personal_loan,last_contact_month,day_of_week,num_contact_compaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,term_deposit
989,50,blue-collar,married,basic.9y,no,yes,no,jul,tue,3,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
990,37,technician,married,professional.course,no,yes,no,jul,tue,6,0,0,nonexistent,1.4,93.918,-42.7,4.955,5228.1,no
991,42,blue-collar,married,basic.4y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
992,30,services,married,basic.9y,no,yes,no,nov,mon,1,0,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
993,25,blue-collar,married,basic.6y,no,yes,no,jul,thu,3,0,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
994,35,self-employed,single,university.degree,no,no,yes,nov,wed,1,3,1,success,-0.1,93.2,-42.0,4.12,5195.8,no
995,37,entrepreneur,married,high.school,no,no,no,nov,thu,1,0,1,failure,-0.1,93.2,-42.0,4.076,5195.8,no
996,30,entrepreneur,married,high.school,no,yes,no,nov,wed,3,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
997,33,blue-collar,married,basic.6y,no,yes,yes,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
998,36,technician,married,university.degree,no,no,no,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
999,46,services,married,high.school,no,no,no,may,tue,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1000,51,unemployed,married,basic.6y,no,no,no,jun,thu,2,0,1,failure,-2.9,92.963,-40.8,1.26,5076.2,yes
1001,33,technician,single,professional.course,no,yes,no,aug,tue,2,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
1002,26,entrepreneur,married,N/A,no,no,no,may,fri,3,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1003,40,blue-collar,divorced,high.school,no,no,no,may,thu,6,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1004,25,blue-collar,single,high.school,no,no,no,may,fri,3,0,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
1005,38,management,married,basic.9y,no,no,no,may,fri,1,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,yes
1006,54,admin.,single,university.degree,no,no,no,may,mon,1,0,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,yes
1007,50,admin.,married,basic.6y,no,yes,no,jul,wed,1,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1008,36,management,married,university.degree,no,yes,no,may,mon,6,0,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
1009,43,admin.,single,university.degree,no,yes,no,aug,fri,2,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1010,57,management,divorced,university.degree,no,no,no,apr,mon,2,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1011,38,blue-collar,married,basic.4y,no,no,no,may,wed,1,0,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
1012,27,admin.,single,high.school,no,yes,no,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1013,35,management,married,university.degree,no,yes,no,nov,wed,1,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1014,28,technician,single,high.school,no,yes,no,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1015,57,admin.,married,university.degree,no,yes,no,aug,fri,1,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1016,40,blue-collar,married,basic.4y,no,no,no,nov,thu,5,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1017,43,blue-collar,married,basic.6y,no,no,yes,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1018,34,technician,divorced,professional.course,no,yes,no,apr,fri,1,0,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
1019,67,retired,married,N/A,no,no,no,oct,thu,2,0,0,nonexistent,-3.4,92.431,-26.9,0.722,5017.5,no
1020,48,admin.,divorced,high.school,no,yes,no,nov,mon,1,0,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
1021,35,admin.,single,high.school,no,yes,yes,may,tue,4,0,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
1022,27,admin.,single,university.degree,no,no,no,may,mon,1,1,1,success,-1.8,92.893,-46.2,1.299,5099.1,no
1023,25,admin.,single,high.school,no,yes,no,jul,thu,1,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1024,42,technician,married,professional.course,no,yes,yes,may,thu,2,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1025,47,admin.,divorced,university.degree,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1026,49,entrepreneur,married,university.degree,no,yes,no,nov,fri,2,0,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
1027,36,admin.,single,basic.9y,no,yes,no,may,tue,1,0,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
1028,35,technician,married,professional.course,no,no,no,jun,mon,3,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
1029,29,blue-collar,married,basic.4y,no,yes,no,nov,mon,1,0,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
1030,45,technician,married,professional.course,no,no,no,jun,fri,3,0,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
1031,53,blue-collar,married,basic.6y,no,yes,no,may,fri,1,0,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1032,41,admin.,married,university.degree,no,no,yes,aug,mon,3,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1033,50,management,married,high.school,no,no,no,jun,mon,17,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1034,31,management,married,basic.9y,no,no,yes,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
1035,46,services,married,high.school,no,no,no,may,wed,3,0,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
1036,36,blue-collar,married,high.school,no,no,no,may,wed,4,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
1037,43,blue-collar,single,professional.course,no,no,no,jun,thu,1,0,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
1038,48,entrepreneur,married,basic.9y,no,yes,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1040,21,services,single,high.school,no,yes,yes,apr,thu,2,0,0,nonexistent,-1.8,93.075,-47.1,1.435,5099.1,no
1041,56,services,married,high.school,no,no,no,may,fri,1,0,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
1042,54,management,married,basic.6y,no,no,no,jun,wed,3,0,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
1043,44,services,married,high.school,no,no,no,nov,tue,2,0,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no
1044,31,unemployed,married,university.degree,no,no,no,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1045,50,admin.,married,university.degree,no,no,no,aug,tue,2,0,1,failure,-2.9,92.201,-31.4,0.859,5076.2,yes
1046,48,admin.,married,university.degree,no,yes,yes,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,yes
1047,26,self-employed,single,university.degree,no,yes,no,jun,wed,2,0,0,nonexistent,-2.9,92.963,-40.8,1.244,5076.2,no
1048,37,services,single,basic.9y,no,yes,no,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1049,37,unemployed,married,university.degree,no,no,no,jun,tue,1,0,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,no
1050,50,services,married,N/A,no,no,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1051,47,admin.,married,university.degree,no,yes,no,aug,tue,5,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1052,41,blue-collar,single,basic.9y,no,no,no,may,wed,1,0,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
1053,32,blue-collar,single,basic.9y,no,yes,no,jun,mon,17,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1054,38,services,married,basic.9y,no,no,yes,jun,fri,2,0,0,nonexistent,-2.9,92.963,-40.8,1.224,5076.2,no
1055,48,technician,married,professional.course,no,no,no,jul,tue,1,0,1,failure,-1.7,94.215,-40.3,0.876,4991.6,no
1056,46,blue-collar,married,basic.4y,no,yes,no,may,tue,2,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1057,48,self-employed,married,basic.9y,no,yes,no,may,tue,2,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1058,38,admin.,divorced,high.school,no,yes,no,may,wed,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1059,38,admin.,married,university.degree,no,yes,no,aug,tue,2,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1060,55,retired,married,basic.4y,no,no,yes,jul,tue,4,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1061,27,admin.,married,high.school,no,yes,yes,jul,mon,3,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
1062,28,services,married,high.school,no,yes,no,nov,wed,3,0,2,failure,-1.1,94.767,-50.8,1.048,4963.6,no
1063,29,blue-collar,single,basic.9y,no,no,no,jun,mon,1,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1064,47,services,divorced,basic.4y,no,no,no,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1065,34,student,single,basic.4y,no,yes,no,may,thu,3,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1066,51,services,divorced,high.school,no,no,no,may,tue,2,0,1,failure,-1.8,92.893,-46.2,1.344,5099.1,no
1067,40,admin.,divorced,university.degree,no,yes,yes,aug,wed,1,0,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
1068,38,admin.,married,high.school,no,yes,no,jun,mon,1,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
1069,42,blue-collar,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
1070,30,unemployed,single,university.degree,no,yes,yes,jul,wed,3,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1071,36,services,married,high.school,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1072,33,admin.,single,high.school,no,no,yes,jun,wed,1,0,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no
1073,47,management,married,university.degree,no,no,no,apr,mon,3,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1074,33,admin.,married,university.degree,no,yes,no,sep,thu,2,0,0,nonexistent,-1.1,94.199,-37.5,0.878,4963.6,yes
1075,30,services,single,basic.9y,no,yes,no,jul,wed,3,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1076,54,admin.,married,high.school,no,no,no,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no
1077,47,admin.,married,basic.9y,no,no,no,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1078,32,technician,single,university.degree,no,yes,no,nov,wed,1,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1079,32,blue-collar,married,basic.9y,no,yes,no,may,fri,2,0,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
1080,38,self-employed,married,basic.9y,no,yes,no,may,wed,1,0,2,failure,-1.8,92.893,-46.2,1.281,5099.1,no
1081,38,technician,single,high.school,no,no,no,aug,wed,2,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
1082,38,admin.,married,N/A,no,yes,no,aug,thu,10,0,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no
1083,53,blue-collar,married,high.school,no,yes,no,jul,tue,7,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1084,26,unemployed,single,basic.9y,no,yes,no,may,tue,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1086,38,admin.,single,university.degree,no,no,no,jun,tue,1,0,0,nonexistent,-2.9,92.963,-40.8,1.099,5076.2,no
1087,41,services,married,high.school,no,yes,no,may,mon,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes
1088,39,self-employed,divorced,high.school,no,no,no,sep,tue,1,3,1,success,-3.4,92.379,-29.8,0.788,5017.5,yes
1089,48,admin.,divorced,high.school,no,no,no,jul,mon,2,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
1090,32,blue-collar,married,basic.6y,no,yes,no,jun,fri,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
1091,35,blue-collar,married,basic.6y,no,no,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1092,51,blue-collar,married,basic.9y,no,yes,no,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1093,35,admin.,single,university.degree,no,yes,no,may,mon,5,0,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
1094,60,blue-collar,married,basic.4y,no,yes,no,apr,mon,4,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1095,28,admin.,single,university.degree,no,no,yes,jul,fri,2,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1096,52,management,married,high.school,no,yes,yes,aug,tue,1,10,4,failure,-2.9,92.201,-31.4,0.883,5076.2,yes
1097,35,blue-collar,married,basic.9y,no,no,no,jun,tue,2,0,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
1098,27,admin.,single,university.degree,no,no,no,may,tue,1,3,1,success,-1.8,92.893,-46.2,1.266,5099.1,no
1099,34,technician,married,high.school,no,no,no,jul,thu,1,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1100,36,blue-collar,married,basic.4y,no,no,yes,nov,wed,1,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1101,28,blue-collar,married,basic.9y,no,no,no,may,thu,1,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1102,32,admin.,married,university.degree,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1103,49,blue-collar,divorced,basic.6y,no,no,no,jul,mon,3,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
1104,55,admin.,married,basic.9y,no,yes,yes,nov,thu,2,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1105,50,technician,married,high.school,no,yes,no,dec,mon,1,0,1,failure,-3.0,92.713,-33.0,0.717,5023.5,yes
1106,37,admin.,single,university.degree,no,no,no,may,wed,4,0,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
1108,58,admin.,married,basic.9y,no,yes,no,dec,thu,1,0,1,failure,-3.0,92.713,-33.0,0.72,5023.5,yes
1109,32,entrepreneur,married,university.degree,no,no,no,aug,mon,5,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1110,35,retired,single,basic.9y,no,yes,yes,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1111,35,technician,single,professional.course,no,yes,no,may,mon,4,0,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
1112,26,admin.,single,high.school,no,no,no,may,thu,3,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1113,47,blue-collar,married,professional.course,no,yes,no,apr,tue,4,0,1,failure,-1.8,93.075,-47.1,1.423,5099.1,no
1114,29,blue-collar,single,basic.9y,no,no,no,may,wed,1,0,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
1115,37,entrepreneur,single,basic.9y,no,yes,no,may,tue,1,2,1,success,-1.8,92.893,-46.2,1.266,5099.1,no
1116,32,technician,single,high.school,no,no,no,jul,wed,11,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1117,46,services,married,high.school,no,yes,no,jul,mon,2,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
1118,36,services,married,high.school,no,no,yes,may,wed,5,0,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no
1119,35,admin.,married,university.degree,no,no,no,jun,thu,4,0,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
1120,31,self-employed,married,university.degree,no,yes,no,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
1121,29,admin.,single,university.degree,no,no,no,aug,mon,2,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
1122,46,housemaid,married,basic.4y,no,no,no,jul,fri,2,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1124,29,technician,single,basic.9y,no,no,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1125,31,management,single,university.degree,no,yes,no,may,thu,2,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1126,34,blue-collar,married,basic.4y,no,yes,no,jul,thu,1,0,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
1127,29,technician,single,professional.course,no,yes,yes,nov,fri,1,0,0,nonexistent,-0.1,93.2,-42.0,4.021,5195.8,no
1128,46,admin.,single,university.degree,no,yes,yes,jul,tue,7,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1129,29,blue-collar,divorced,high.school,no,no,no,may,fri,1,0,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,yes
1130,54,blue-collar,single,basic.4y,no,no,no,may,thu,3,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1131,26,management,single,university.degree,no,yes,no,nov,mon,5,0,0,nonexistent,-1.1,94.767,-50.8,1.039,4963.6,no
1132,27,admin.,married,professional.course,no,yes,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1133,57,management,married,basic.4y,no,yes,no,may,fri,5,0,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
1134,32,technician,single,university.degree,no,yes,no,aug,wed,5,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1135,35,services,married,high.school,no,yes,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1137,59,retired,married,basic.9y,no,no,no,jul,mon,4,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
1138,29,blue-collar,married,basic.9y,no,yes,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no
1139,37,admin.,married,high.school,no,no,yes,may,thu,1,0,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
1140,40,admin.,married,high.school,no,no,no,jun,tue,5,0,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
1141,55,admin.,married,professional.course,no,yes,yes,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
1142,33,housemaid,single,university.degree,no,yes,no,aug,wed,3,0,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no
1143,36,admin.,single,high.school,no,no,no,apr,fri,3,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1144,59,admin.,married,high.school,no,no,no,jun,mon,4,0,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,no
1145,34,blue-collar,single,basic.9y,no,no,no,may,thu,3,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1146,30,self-employed,married,professional.course,no,no,no,may,tue,2,0,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
1147,29,admin.,married,high.school,no,no,no,jul,thu,7,0,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
1148,34,blue-collar,single,basic.9y,no,no,no,may,mon,2,0,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no
1149,47,blue-collar,single,basic.4y,no,yes,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1150,41,entrepreneur,married,basic.4y,no,yes,no,jul,fri,2,0,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,no
1151,30,admin.,single,university.degree,no,yes,no,jun,wed,1,0,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,no
1152,33,admin.,married,high.school,no,yes,no,aug,tue,1,0,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
1153,33,unemployed,single,N/A,no,no,no,jul,tue,6,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1155,59,retired,married,basic.4y,no,yes,yes,aug,thu,1,0,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
1156,29,services,married,basic.9y,no,yes,no,may,wed,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1157,36,admin.,married,high.school,no,no,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1158,41,admin.,single,N/A,no,yes,no,apr,fri,2,0,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
1159,55,technician,married,basic.9y,no,no,no,jun,mon,1,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
1160,39,entrepreneur,married,professional.course,no,yes,no,nov,thu,2,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1161,48,services,married,basic.6y,no,no,no,jul,wed,6,0,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
1162,56,admin.,married,university.degree,no,yes,no,jul,fri,5,0,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
1163,63,technician,married,N/A,no,yes,no,aug,tue,1,0,0,nonexistent,-2.9,92.201,-31.4,0.838,5076.2,no
1164,50,self-employed,married,basic.9y,no,no,no,may,thu,1,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1165,42,blue-collar,married,basic.6y,no,yes,no,may,mon,3,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1166,43,unemployed,married,university.degree,no,no,no,jun,mon,1,0,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
1167,32,admin.,married,university.degree,no,yes,yes,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1168,28,blue-collar,single,basic.9y,no,no,no,apr,mon,1,0,0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,no
1169,26,blue-collar,married,professional.course,no,yes,no,may,thu,2,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1171,38,blue-collar,divorced,N/A,no,no,no,jun,fri,1,0,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
1172,30,services,married,high.school,no,yes,no,nov,thu,1,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1173,29,blue-collar,single,basic.4y,no,yes,no,may,fri,9,0,1,failure,-1.8,92.893,-46.2,1.25,5099.1,no
1174,56,management,married,university.degree,no,no,no,jul,tue,2,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1175,36,blue-collar,single,basic.9y,no,yes,yes,jun,thu,3,0,0,nonexistent,1.4,94.465,-41.8,4.955,5228.1,yes
1176,33,admin.,married,high.school,no,yes,no,jul,tue,4,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
1177,47,services,married,N/A,no,no,no,may,wed,2,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1178,50,housemaid,married,basic.4y,no,no,no,may,mon,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1179,41,services,married,basic.9y,no,no,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no
1180,54,entrepreneur,divorced,N/A,no,no,yes,apr,thu,2,0,1,failure,-1.8,93.075,-47.1,1.41,5099.1,no
1182,38,admin.,single,university.degree,no,no,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1183,34,management,single,high.school,no,yes,yes,nov,wed,2,6,1,success,-0.1,93.2,-42.0,4.12,5195.8,no
1184,34,blue-collar,married,basic.9y,no,no,no,may,tue,3,0,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no
1185,55,admin.,married,N/A,no,yes,yes,nov,thu,3,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1186,31,self-employed,married,university.degree,no,no,no,aug,tue,2,0,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
1187,43,technician,married,professional.course,no,yes,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1188,59,unemployed,married,basic.4y,no,yes,no,jul,thu,9,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes
1190,56,unemployed,married,professional.course,no,no,no,sep,fri,1,0,2,failure,-3.4,92.379,-29.8,0.762,5017.5,no
1191,32,entrepreneur,married,basic.9y,no,yes,no,jul,tue,1,0,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
1192,36,blue-collar,married,basic.9y,no,yes,no,jul,thu,3,0,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
1193,42,blue-collar,married,basic.9y,no,no,no,may,wed,5,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1194,29,admin.,married,university.degree,no,yes,no,aug,mon,2,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1195,33,services,married,high.school,no,no,no,nov,thu,6,0,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no
1196,56,technician,married,N/A,no,no,no,jun,fri,2,0,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
1197,31,entrepreneur,divorced,high.school,no,yes,no,may,tue,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1198,34,management,married,high.school,no,yes,no,nov,wed,3,0,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
1199,33,blue-collar,married,basic.4y,no,yes,no,jun,fri,7,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
1200,23,housemaid,single,basic.4y,no,no,yes,may,thu,6,0,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no
1201,26,services,single,high.school,no,yes,yes,jul,fri,3,0,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
1202,55,management,married,university.degree,no,no,no,aug,mon,6,0,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
1203,47,services,divorced,basic.4y,no,yes,no,jun,fri,6,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
1204,36,blue-collar,married,professional.course,no,yes,no,jun,fri,5,0,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
1205,33,blue-collar,married,basic.6y,no,yes,yes,may,thu,2,0,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no
1206,60,retired,married,basic.4y,no,yes,no,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1207,49,entrepreneur,married,university.degree,no,yes,no,may,fri,2,0,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no
1209,47,admin.,divorced,high.school,no,no,no,jul,mon,1,0,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
1210,30,blue-collar,single,basic.9y,no,no,no,may,wed,1,0,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
1211,27,blue-collar,single,basic.9y,no,no,yes,jun,thu,2,0,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
1212,36,admin.,single,high.school,no,no,no,jul,tue,1,0,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
